questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
37,3,Língua Inglesa,candidata,Candidata,0.3455,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the word genial r 15 means unusually intelligent
word genial means unusually intelligent contexto lack formal preparation those days
**Contexto:** 1 at the lack of formal preparation for the job. In those days, the Civil and Diplomatic Service entrance exams took place in three stages, by the end of which hundreds of unsuccessful 4 candidates had been knocked out. Only a score or so survive",The word “genial” (R.15) means unusually intelligent.
37,4,Língua Inglesa,candidata,Candidata,0.3444,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 1 — Stylistic Debate and Language Register (Historiography of Discourse),"it can be correctly inferred that when it came to hiring the foreign office had a clear preference for bright young people
correctly inferred that when came hiring foreign office clear preference contexto lack formal preparation those days
**Contexto:** 1 at the lack of formal preparation for the job. In those days, the Civil and Diplomatic Service entrance exams took place in three stages, by the end of which hundreds of unsuccessful 4 candidates had been knocked out. Only a score or so survive","It can be correctly inferred that, when it came to hiring, the Foreign Office had a clear preference for bright young people."
38,1,Língua Inglesa,candidata,Candidata,0.4395,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Key Examples,"the fact that the author didn t know the meaning of the word roselle and translated it as jute was prejudicial to the british minister
fact that author didn know meaning word roselle translated jute contexto ence bright young people decide
**Contexto:** ence for bright young people. Decide whether the statements below, which concern the ideas of text II and the vocabulary used in it, are right (C) or wrong (E).",The fact that the author didn’t know the meaning of the word “roselle” and translated it as “jute” was prejudicial to the British Minister.
38,2,Língua Inglesa,candidata,Candidata,0.3862,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the passage a wet-behind-the-ears but fully functioning british diplomat r 12 indicates that the author s inexperience didn t prevent him from getting a position of responsibility in the foreign office
passage wet-behind-the-ears fully functioning british diplomat indicates that author inexperience contexto ence bright young people decide
**Contexto:** ence for bright young people. Decide whether the statements below, which concern the ideas of text II and the vocabulary used in it, are right (C) or wrong (E).",The passage “a wet-behind-the-ears but fully functioning British diplomat” (R.12) indicates that the author’s inexperience didn’t prevent him from getting a position of responsibility in the Foreign Office.
38,3,Língua Inglesa,candidata,Candidata,0.4466,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 1 — Stylistic Debate and Language Register (Historiography of Discourse),"from the author s account it can be correctly inferred that he was expected to be able to translate from french to english and vice versa as part of his job as a diplomat
from author account correctly inferred that expected able translate french contexto ence bright young people decide
**Contexto:** ence for bright young people. Decide whether the statements below, which concern the ideas of text II and the vocabulary used in it, are right (C) or wrong (E).","From the author’s account, it can be correctly inferred that he was expected to be able to translate from French to English and vice versa, as part of his job as a diplomat."
38,4,Língua Inglesa,candidata,Candidata,0.3674,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 2),"the word unsparingly r 13 can be correctly replaced by unmercifully without this changing the meaning of the text fimdotexto
word unsparingly correctly replaced unmercifully without this changing meaning text contexto ence bright young people decide
**Contexto:** ence for bright young people. Decide whether the statements below, which concern the ideas of text II and the vocabulary used in it, are right (C) or wrong (E).","The word “unsparingly” (R.13) can be correctly replaced by unmercifully, without this changing the meaning of the text. !FimDoTexto!"
39,1,Língua Inglesa,candidata,Candidata,0.4231,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"in spite of some passages which might be taken as ironic it is correct to conclude that the text considers the changes in french diplomacy to be positive
spite some passages which might taken ironic correct conclude that contexto text every summer french diplomatic
**Contexto:** Text III At the end of every summer, the French diplomatic","In spite of some passages which might be taken as ironic, it is correct to conclude that the text considers the changes in French diplomacy to be positive."
39,2,Língua Inglesa,fraca,Sinal fraco,0.2374,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Diplomatic Vocabulary (parte 1),"according to the text the foreign minister laurent fabius was appointed immediately after mrs alliot-marie s term
according text foreign minister laurent fabius appointed immediately after alliot-marie contexto every summer french diplomatic
**Contexto:** Text III At the end of every summer, the French diplomatic","According to the text, the foreign minister Laurent Fabius was appointed immediately after Mrs. Alliot-Marie’s term."
39,3,Língua Inglesa,candidata,Candidata,0.3323,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the mentioning of fine cuisine r 3 suggests that the french ambassadors were in paris also to learn about french gastronomy due to its relevance in french culture
mentioning fine cuisine suggests that french ambassadors were paris also contexto text every summer diplomatic
**Contexto:** Text III At the end of every summer, the French diplomatic","The mentioning of “fine cuisine” (R.3) suggests that the French ambassadors were in Paris also to learn about French gastronomy, due to its relevance in French culture."
39,4,Língua Inglesa,candidata,Candidata,0.4424,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the contrast between the images created by the expressions monochrome middle-aged and male and silk scarves and coloured jackets functions as a rhetorical resource which reinforces the idea that french diplomacy is becoming a more feminine realm text iv when did americans start sounding funny to english
contrast between images created expressions monochrome middle-aged male silk scarves contexto text every summer french diplomatic
**Contexto:** Text III At the end of every summer, the French diplomatic","The contrast between the images created by the expressions “monochrome, middle-aged and male” and “silk scarves and coloured jackets” functions as a rhetorical resource which reinforces the idea that French diplomacy is becoming a more feminine realm. Text IV When did Americans start sounding funny to English"
40,1,Língua Inglesa,fraca,Sinal fraco,0.2799,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 1),"according to the text the fact that social origin was not as easy to identify based on the koine of eighteenth-century americans as was the case with contemporary britons reflected the early american colonies egalitarian ethos
according text fact that social origin easy identify based koine contexto funny english ears story simple
**Contexto:** ing funny to English 1 ears? The story is not as simple as some believe. Thanks to a remarkable kind of linguistic melting pot process, early Americans spoke with a standard dialect all their own that was 4 often met with approval by English obse","According to the text, the fact that social origin was not as easy to identify based on the koine of eighteenth-century Americans as was the case with contemporary Britons reflected the early American colonies’ egalitarian ethos."
40,2,Língua Inglesa,fraca,Sinal fraco,0.2941,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 1),"it can be said from the text that to british ears contemporary american accents belie declining grammar standards in america as compared to colonial times
said from text that british ears contemporary american accents belie contexto funny english story simple
**Contexto:** ing funny to English 1 ears? The story is not as simple as some believe. Thanks to a remarkable kind of linguistic melting pot process, early Americans spoke with a standard dialect all their own that was 4 often met with approval by English obse","It can be said from the text that to British ears, contemporary American accents belie declining grammar standards in America as compared to Colonial times."
40,3,Língua Inglesa,candidata,Candidata,0.4332,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 1),"the author criticizes krapp s argument that exemplars of transplanted languages or dialects such as acadian french are more archaic than the original ones which continued evolving in their home countries
author criticizes krapp argument that exemplars transplanted languages dialects such contexto funny english ears story simple
**Contexto:** ing funny to English 1 ears? The story is not as simple as some believe. Thanks to a remarkable kind of linguistic melting pot process, early Americans spoke with a standard dialect all their own that was 4 often met with approval by English obse","The author criticizes Krapp’s argument that exemplars of transplanted languages or dialects such as Acadian French are more archaic than the original ones, which continued evolving in their home countries."
40,4,Língua Inglesa,candidata,Candidata,0.3687,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 1),"the author asserts that the early dialect of colonial americans was not influenced and shaped by large waves of immigrants from many origins fimdotexto
author asserts that early dialect colonial americans influenced shaped large contexto funny english ears story simple
**Contexto:** ing funny to English 1 ears? The story is not as simple as some believe. Thanks to a remarkable kind of linguistic melting pot process, early Americans spoke with a standard dialect all their own that was 4 often met with approval by English obse",The author asserts that the early dialect of colonial Americans was not influenced and shaped by large waves of immigrants from many origins. !FimDoTexto!
41,1,Língua Inglesa,candidata,Candidata,0.3613,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 3 — TPS Radar (Classic Pitfalls) (parte 1),"ascertain
ascertain contexto aves immigrants from many origins
**Contexto:** aves of immigrants from many origins. !FimDoTexto! In text IV, without altering the general meaning of the sentence, “pinpoint” (R.10) could be replaced by (mark right — C — or wrong — E)",ascertain.
41,2,Língua Inglesa,candidata,Candidata,0.3668,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 3 — TPS Radar (Classic Pitfalls) (parte 1),"determine
determine contexto aves immigrants from many origins
**Contexto:** aves of immigrants from many origins. !FimDoTexto! In text IV, without altering the general meaning of the sentence, “pinpoint” (R.10) could be replaced by (mark right — C — or wrong — E)",determine.
41,3,Língua Inglesa,candidata,Candidata,0.3689,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 3 — TPS Radar (Classic Pitfalls) (parte 1),"compare
compare contexto aves immigrants from many origins
**Contexto:** aves of immigrants from many origins. !FimDoTexto! In text IV, without altering the general meaning of the sentence, “pinpoint” (R.10) could be replaced by (mark right — C — or wrong — E)",compare.
41,4,Língua Inglesa,candidata,Candidata,0.3533,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Block 3 — TPS Radar (Classic Pitfalls) (parte 1),"convey fimdotexto
convey fimdotexto contexto aves immigrants from many origins
**Contexto:** aves of immigrants from many origins. !FimDoTexto! In text IV, without altering the general meaning of the sentence, “pinpoint” (R.10) could be replaced by (mark right — C — or wrong — E)",convey. !FimDoTexto!
42,1,Língua Inglesa,candidata,Candidata,0.3947,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,The Four -ING Structures,"the word assimilated r 52 could be correctly replaced by blended without altering the meaning of the passage
word assimilated could correctly replaced blended without altering meaning passage contexto considering grammatical semantic aspects text
**Contexto:** Considering the grammatical and semantic aspects of text IV, decide whether the following items are right (C) or wrong (E).","The word “assimilated” (R.52) could be correctly replaced by blended, without altering the meaning of the passage."
42,2,Língua Inglesa,anotada,Anotada,0.4512,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Tension Between Plain English and Classical Formality (parte 2),"the adjective compelling r 25 could be replaced by thorough in this particular context
adjective compelling could replaced thorough this particular context contexto considering grammatical semantic aspects text
**Contexto:** Considering the grammatical and semantic aspects of text IV, decide whether the following items are right (C) or wrong (E).",The adjective “compelling” (R.25) could be replaced by thorough in this particular context.
42,3,Língua Inglesa,candidata,Candidata,0.3784,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,Beyond Standard BE — Other Passive Markers,"the expression hold their tongue with r 54 and 55 could be replaced by uphold their dialect against without altering the meaning of the sentence
expression hold their tongue with could replaced uphold dialect against contexto considering grammatical semantic aspects text
**Contexto:** Considering the grammatical and semantic aspects of text IV, decide whether the following items are right (C) or wrong (E).",The expression “hold their tongue with” (R.54 and 55) could be replaced by uphold their dialect against without altering the meaning of the sentence.
42,4,Língua Inglesa,candidata,Candidata,0.3810,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,The Four -ING Structures,"the expression a bunch of r 45 could be replaced by a cluster of without altering the meaning of the passage
expression bunch could replaced cluster without altering meaning passage contexto considering grammatical semantic aspects text
**Contexto:** Considering the grammatical and semantic aspects of text IV, decide whether the following items are right (C) or wrong (E).",The expression “a bunch of” (R.45) could be replaced by a cluster of without altering the meaning of the passage.
43,1,Língua Inglesa,candidata,Candidata,0.4331,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"the expression on a par r 20 and 21 means competing
expression means competing contexto text hegel observed emerging democracies
**Contexto:** Text V As Hegel observed of the emerging democracies of the",The expression “on a par” (R. 20 and 21) means competing.
43,2,Língua Inglesa,candidata,Candidata,0.4262,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",The Rhetorical Function of Dense Literary Prose,"the text asserts that facts should be judged to be the sole standard against which to define beliefs
text asserts that facts should judged sole standard against which contexto hegel observed emerging democracies
**Contexto:** Text V As Hegel observed of the emerging democracies of the",The text asserts that facts should be judged to be the sole standard against which to define beliefs.
43,3,Língua Inglesa,candidata,Candidata,0.4368,02 - LÍNGUA INGLESA/01 - Primeira Fase/2 - Itens gramaticais relevantes/_Itens gramaticais relevantes.md,5. Vocabulary from the CACD Text (Thematic),"the word contingent r 34 is synonymous with necessary
word contingent synonymous with necessary contexto text hegel observed emerging democracies
**Contexto:** Text V As Hegel observed of the emerging democracies of the",The word “contingent” (R.34) is synonymous with necessary.
43,4,Língua Inglesa,anotada,Anotada,0.4965,"02 - LÍNGUA INGLESA/01 - Primeira Fase/1 - Compreensão de textos escritos/_Lexicology, Register, and Stylistic Density.md",Introduction: Presenting the Crisis and Diagnosing the Foundations,"the word enjoined r 27 cannot be replaced by endorsed in this particular context história do brasil
word enjoined cannot replaced endorsed this particular context história brasil contexto text hegel observed emerging democracies
**Contexto:** Text V As Hegel observed of the emerging democracies of the",The word “enjoined” (R.27) cannot be replaced by endorsed in this particular context. HISTÓRIA DO BRASIL
44,1,História do Brasil,anotada,Anotada,0.7822,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.1 - A configuração territorial da América Portuguesa/_A configuração territorial da América Portuguesa.md,3.2. Expansão na Amazônia e Centro-Oeste,"no final do século xvi os portugueses tinham posições fortificadas na foz do rio amazonas e na margem oriental do rio da prata
final século portugueses tinham posições fortificadas amazonas margem oriental prata contexto context história brasil configuração territorial
**Contexto:** ar context. HISTÓRIA DO BRASIL A configuração territorial da América portuguesa colonial foi alcançada por meio de um processo histórico dinâmico, iniciado no século XVI.","No final do século XVI, os portugueses tinham posições fortificadas na foz do rio Amazonas e na margem oriental do rio da Prata."
44,2,História do Brasil,anotada,Anotada,0.8588,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.1 - A configuração territorial da América Portuguesa/_A configuração territorial da América Portuguesa.md,4.3. Mão de Obra e Colonização,"com a finalidade de garantir a efetiva ocupação da região de são vicente no atual litoral paulista martim afonso de souza deu início por ordem da coroa portuguesa às concessões hereditárias de terras a portugueses que trazia com esse objetivo em sua expedição
finalidade garantir efetiva ocupação região vicente atual litoral paulista martim contexto context história brasil configuração territorial
**Contexto:** ar context. HISTÓRIA DO BRASIL A configuração territorial da América portuguesa colonial foi alcançada por meio de um processo histórico dinâmico, iniciado no século XVI.","Com a finalidade de garantir a efetiva ocupação da região de São Vicente, no atual litoral paulista, Martim Afonso de Souza deu início, por ordem da Coroa portuguesa, às concessões hereditárias de terras a portugueses que trazia, com esse objetivo, em sua expedição."
44,3,História do Brasil,anotada,Anotada,0.8400,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.2 - As dimensões econômicas e sociais da América Portuguesa/_As dimensões econômicas e sociais da América Portuguesa.md,A Análise de Rubens Ricupero,"as capitanias hereditárias foram concedidas a militares portugueses que recebiam as doações como reconhecimento por serviços prestados à coroa bem como para reforçar a defesa do território colonial e facilitar a sua exploração
capitanias hereditárias foram concedidas militares portugueses recebiam doações como reconhecimento contexto context história brasil configuração territorial
**Contexto:** ar context. HISTÓRIA DO BRASIL A configuração territorial da América portuguesa colonial foi alcançada por meio de um processo histórico dinâmico, iniciado no século XVI.","As capitanias hereditárias foram concedidas a militares portugueses, que recebiam as doações como reconhecimento por serviços prestados à Coroa, bem como para reforçar a defesa do território colonial e facilitar a sua exploração."
44,4,História do Brasil,anotada,Anotada,0.8837,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.1 - A configuração territorial da América Portuguesa/_A configuração territorial da América Portuguesa.md,4.3. Mão de Obra e Colonização,"a doação de terras pelos capitães-donatários a sesmeiros deu origem à formação de latifúndios fimdotexto
doação terras pelos capitães-donatários sesmeiros origem formação latifúndios fimdotexto contexto context história brasil configuração territorial
**Contexto:** ar context. HISTÓRIA DO BRASIL A configuração territorial da América portuguesa colonial foi alcançada por meio de um processo histórico dinâmico, iniciado no século XVI.",A doação de terras pelos capitães-donatários a sesmeiros deu origem à formação de latifúndios. !FimDoTexto!
45,1,História do Brasil,anotada,Anotada,0.7174,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.1 - A configuração territorial da América Portuguesa/_A configuração territorial da América Portuguesa.md,6.5.1. A Miragem do Prata e a Expansão na Região Meridional,"sertanistas de são paulo penetraram no interior da américa do sul nos séculos xvi e xvii viabilizando a ocupação da região pelos portugueses
sertanistas paulo penetraram interior américa séculos xvii viabilizando ocupação região","Sertanistas de São Paulo penetraram no interior da América do Sul nos séculos XVI e XVII, viabilizando a ocupação da região pelos portugueses."
45,2,História do Brasil,anotada,Anotada,0.6355,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.1 - A configuração territorial da América Portuguesa/_A configuração territorial da América Portuguesa.md,6.6.5. O Clima Propício ao Tratado de Madri,"pelo tratado de madri de 1750 a espanha aceitou a posse portuguesa do mato grosso da amazônia e da margem oriental do rio da prata
pelo tratado madri 1750 espanha aceitou posse portuguesa mato grosso","Pelo Tratado de Madri, de 1750, a Espanha aceitou a posse portuguesa do Mato Grosso, da Amazônia e da margem oriental do rio da Prata."
45,3,História do Brasil,anotada,Anotada,0.5842,03 - HISTÓRIA DO BRASIL/04 - A Regência (1831-1840)/4_A Regência (1831-1840).md,"Cabanagem (Pará, 1835–1840)","com o tratado de badajoz de 1801 a posse da região dos sete povos no oeste gaúcho passou à espanha mas o território foi retomado pelos portugueses em 1816
tratado badajoz 1801 posse região sete povos oeste gaúcho passou","Com o Tratado de Badajoz, de 1801, a posse da região dos Sete Povos, no oeste gaúcho, passou à Espanha, mas o território foi retomado pelos portugueses em 1816."
45,4,História do Brasil,anotada,Anotada,0.6760,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.3 Outros/Tratado de Tordesilhas (1494).md,A Mediação Papal e a Negociação Direta,"a linha divisória entre portugal e espanha estabelecida pelo tratado de tordesilhas não abrangia o pacífico mas apenas o atlântico fimdotexto
linha divisória entre portugal espanha estabelecida pelo tratado tordesilhas abrangia","A linha divisória entre Portugal e Espanha estabelecida pelo Tratado de Tordesilhas não abrangia o Pacífico, mas apenas o Atlântico. !FimDoTexto!"
46,1,História do Brasil,anotada,Anotada,0.7720,03 - HISTÓRIA DO BRASIL/10 - O processo democrático a partir de 1985/10.2 - Partidos políticos e eleições/_Partidos políticos e eleições.md,Introdução: As Fundações Estruturais do Sistema Político Brasileiro,"fez parte da estratégia política em favor da independência brasileira o esvaziamento da influência das cortes legislativas portuguesas por meio da criação de uma corte similar no brasil
parte estratégia política favor independência brasileira esvaziamento influência cortes legislativas contexto processo brasil resultou complexo
**Contexto:** O processo de independência do Brasil resultou de um contexto complexo, determinado por fatores externos e internos.","Fez parte da estratégia política em favor da independência brasileira o esvaziamento da influência das cortes legislativas portuguesas, por meio da criação de uma corte similar no Brasil."
46,2,História do Brasil,anotada,Anotada,0.7336,03 - HISTÓRIA DO BRASIL/02 - O processo de independência/_O Contexto internacional e a independência do Brasil.md,4.1.2.7. . Indústria,"ao promoverem a industrialização de portugal as reformas pombalinas atingiram os interesses da elite mercantil brasileira cujos ganhos estavam relacionados à importação de manufaturados da inglaterra
promoverem industrialização portugal reformas pombalinas atingiram interesses elite mercantil brasileira contexto processo independência brasil resultou complexo
**Contexto:** O processo de independência do Brasil resultou de um contexto complexo, determinado por fatores externos e internos.","Ao promoverem a industrialização de Portugal, as reformas pombalinas atingiram os interesses da elite mercantil brasileira, cujos ganhos estavam relacionados à importação de manufaturados da Inglaterra."
